bot_response,chat_id,context,datetime,user_message
oi,800673480.0,,2021-07-05 22:08:45,oi
oi,800673480.0,,2021-07-05 22:08:50,tudo bem?
oi,800673480.0,,2021-07-05 22:09:28,po
oi,1140774271.0,,2021-07-05 22:10:01,/start
oi,1140774271.0,,2021-07-05 22:10:06,Oi
oi,1140774271.0,,2021-07-05 22:10:09,Oi
oi,1140774271.0,,2021-07-05 22:10:12,Oi
oi,1140774271.0,,2021-07-05 22:10:15,E
oi,1140774271.0,,2021-07-05 22:10:49,Oi
oi,839467994.0,,2021-07-05 22:10:55,/start
oi,839467994.0,,2021-07-05 22:11:00,Opa
oi,839467994.0,,2021-07-05 22:11:02,Oi
oi,839467994.0,,2021-07-05 22:11:04,Iai
oi,1140774271.0,,2021-07-05 22:11:11,Olá
oi,839467994.0,,2021-07-05 22:11:51,Eai
oi,839467994.0,,2021-07-05 22:11:55,Tranquilo?
oi,839467994.0,,2021-07-05 22:11:58,Beleza?
oi,839467994.0,,2021-07-05 22:12:21,Ola
oi,1140774271.0,,2021-07-05 22:13:23,Como tá?
oi,1140774271.0,,2021-07-05 22:13:37,Para que você serve?
oi,1140774271.0,,2021-07-05 22:17:46,Gostaria das iinformações dos produtos B1 e B12
oi,839467994.0,,2021-07-05 22:20:11,Como está?
